Distance (mm)	Counts
0.0	3.0
0.2	2.0
0.4	2.0
0.6	0.0
0.8	0.0
1.0	1.0
1.2	4.0
1.4	5.0
1.6	3.0
1.8	5.0
2.0	5.0
2.2	9.0
2.4	6.0
2.6	25.0
2.8	20.0
3.0	34.0
3.2	46.0
3.4	78.0
3.6	93.0
3.8	86.0
4.0	76.0
4.2	41.0
4.4	35.0
4.6	20.0
4.8	8.0
5.0	6.0
5.2	3.0
5.4	7.0
5.6	4.0
5.8	5.0
6.0	4.0
6.2	2.0
6.4	5.0
6.6	6.0
6.8	12.0
7.0	14.0
7.2	17.0
7.4	25.0
7.6	41.0
7.8	78.0
8.0	85.0
8.2	95.0
8.4	82.0
8.6	33.0
8.8	23.0
9.0	12.0
9.2	7.0
9.4	4.0
9.6	5.0
9.8	5.0
10.0	1.0
10.2	1.0
10.4	3.0
10.6	2.0
10.8	2.0
11.0	1.0
11.2	4.0
11.4	2.0
11.6	1.0
11.8	2.0
12.0	2.0
12.2	3.0
12.4	4.0
12.6	4.0
12.8	1.0
13.0	1.0
13.2	2.0
13.4	2.0
13.6	1.0
13.8	2.0
14.0	1.0
14.2	0.0
14.4	1.0
14.6	1.0
14.8	2.0
15.0	1.0
15.2	1.0
15.4	0.0
15.6	1.0
15.8	2.0
16.0	3.0
