Distance (mm)	Counts
0.0	6.0
0.2	5.0
0.4	13.0
0.6	31.0
0.8	57.0
1.0	70.0
1.2	69.0
1.4	71.0
1.6	81.0
1.8	30.0
2.0	18.0
2.2	12.0
2.4	6.0
2.6	9.0
2.8	5.0
3.0	1.0
3.2	1.0
3.4	2.0
3.6	2.0
3.8	1.0
4.0	2.0
4.2	2.0
4.4	3.0
4.6	2.0
4.8	3.0
5.0	1.0
5.2	1.0
5.4	6.0
5.6	2.0
5.8	3.0
6.0	1.0
6.2	0.0
6.4	2.0
6.6	1.0
6.8	2.0
7.0	2.0
7.2	1.0
7.4	2.0
7.6	2.0
7.8	3.0
8.0	0.0
8.2	3.0
8.4	5.0
8.6	1.0
8.8	3.0
9.0	7.0
9.2	3.0
9.4	2.0
9.6	1.0
9.8	1.0
10.0	7.0
10.2	6.0
10.4	0.0
10.6	6.0
10.8	12.0
11.0	19.0
11.2	46.0
11.4	49.0
11.6	67.0
11.8	88.0
12.0	73.0
12.2	62.0
12.4	35.0
12.6	12.0
12.8	3.0
13.0	8.0
13.2	5.0
13.4	5.0
13.6	1.0
13.8	0.0
14.0	2.0
14.2	4.0
14.4	4.0
14.6	3.0
14.8	3.0
15.0	0.0
15.2	2.0
15.4	2.0
15.6	1.0
15.8	1.0
16.0	5.0
