Distance (mm)	Counts
0.0	242.0
0.5	288.0
1.0	246.0
1.5	272.0
2.0	348.0
2.5	319.0
3.0	356.0
3.5	308.0
4.0	403.0
4.5	398.0
5.0	400.0
5.5	467.0
6.0	466.0
6.5	494.0
7.0	530.0
7.5	521.0
8.0	549.0
8.5	602.0
9.0	663.0
9.5	634.0
10.0	741.0
10.5	738.0
11.0	809.0
11.5	842.0
12.0	914.0
12.5	982.0
13.0	995.0
13.5	1016.0
14.0	1182.0
14.5	1315.0
15.0	1447.0
15.5	1569.0
16.0	1701.0
16.5	1846.0
17.0	1994.0
17.5	2255.0
18.0	2354.0
18.5	2645.0
19.0	3031.0
19.5	3640.0
20.0	4952.0
20.5	6642.0
21.0	8318.0
21.5	9825.0
22.0	11462.0
22.5	13138.0
23.0	14347.0
23.5	15222.0
24.0	15090.0
24.5	13736.0
25.0	12638.0
25.5	11144.0
26.0	9394.0
26.5	7742.0
27.0	5946.0
27.5	4371.0
28.0	3397.0
28.5	2970.0
29.0	2654.0
29.5	2514.0
30.0	2332.0
30.5	2145.0
31.0	2073.0
31.5	1758.0
32.0	1665.0
32.5	1567.0
33.0	1393.0
33.5	1266.0
34.0	1105.0
34.5	1045.0
35.0	1019.0
35.5	967.0
36.0	905.0
36.5	863.0
37.0	820.0
37.5	762.0
38.0	713.0
38.5	692.0
39.0	634.0
39.5	603.0
40.0	582.0
40.5	555.0
41.0	467.0
41.5	460.0
42.0	463.0
42.5	412.0
43.0	382.0
43.5	400.0
44.0	342.0
44.5	359.0
45.0	327.0
45.5	309.0
46.0	310.0
46.5	291.0
47.0	286.0
47.5	258.0
48.0	259.0
48.5	224.0
49.0	208.0
49.5	209.0
50.0	214.0
