Distance (mm)	Counts
0.0	240.0
0.5	285.0
1.0	286.0
1.5	295.0
2.0	322.0
2.5	288.0
3.0	336.0
3.5	409.0
4.0	355.0
4.5	384.0
5.0	452.0
5.5	468.0
6.0	473.0
6.5	506.0
7.0	535.0
7.5	597.0
8.0	569.0
8.5	638.0
9.0	650.0
9.5	646.0
10.0	743.0
10.5	774.0
11.0	811.0
11.5	916.0
12.0	933.0
12.5	999.0
13.0	974.0
13.5	1076.0
14.0	1206.0
14.5	1398.0
15.0	1426.0
15.5	1554.0
16.0	1738.0
16.5	1885.0
17.0	2009.0
17.5	2221.0
18.0	2440.0
18.5	2754.0
19.0	2966.0
19.5	3504.0
20.0	5052.0
20.5	6763.0
21.0	8435.0
21.5	9980.0
22.0	11618.0
22.5	13250.0
23.0	14423.0
23.5	15081.0
24.0	15157.0
24.5	13935.0
25.0	12558.0
25.5	10760.0
26.0	9077.0
26.5	7641.0
27.0	5769.0
27.5	4389.0
28.0	3304.0
28.5	2818.0
29.0	2708.0
29.5	2463.0
30.0	2288.0
30.5	2150.0
31.0	1973.0
31.5	1779.0
32.0	1637.0
32.5	1548.0
33.0	1428.0
33.5	1190.0
34.0	1202.0
34.5	1037.0
35.0	978.0
35.5	934.0
36.0	861.0
36.5	787.0
37.0	795.0
37.5	739.0
38.0	728.0
38.5	675.0
39.0	616.0
39.5	594.0
40.0	562.0
40.5	563.0
41.0	519.0
41.5	450.0
42.0	472.0
42.5	413.0
43.0	406.0
43.5	358.0
44.0	351.0
44.5	392.0
45.0	327.0
45.5	315.0
46.0	304.0
46.5	296.0
47.0	270.0
47.5	256.0
48.0	264.0
48.5	218.0
49.0	216.0
49.5	219.0
50.0	212.0
