Distance (mm)	Counts
0.0	265.0
0.5	292.0
1.0	289.0
1.5	289.0
2.0	310.0
2.5	318.0
3.0	338.0
3.5	348.0
4.0	380.0
4.5	423.0
5.0	426.0
5.5	458.0
6.0	470.0
6.5	448.0
7.0	493.0
7.5	563.0
8.0	571.0
8.5	606.0
9.0	618.0
9.5	690.0
10.0	760.0
10.5	745.0
11.0	786.0
11.5	868.0
12.0	844.0
12.5	966.0
13.0	1022.0
13.5	1040.0
14.0	1177.0
14.5	1323.0
15.0	1334.0
15.5	1504.0
16.0	1700.0
16.5	1861.0
17.0	1986.0
17.5	2193.0
18.0	2385.0
18.5	2638.0
19.0	3094.0
19.5	3941.0
20.0	5046.0
20.5	6515.0
21.0	8253.0
21.5	9673.0
22.0	11367.0
22.5	12772.0
23.0	13893.0
23.5	14333.0
24.0	14514.0
24.5	13791.0
25.0	12611.0
25.5	11178.0
26.0	9251.0
26.5	7816.0
27.0	6085.0
27.5	4998.0
28.0	3866.0
28.5	3021.0
29.0	2764.0
29.5	2593.0
30.0	2456.0
30.5	2151.0
31.0	1928.0
31.5	1798.0
32.0	1671.0
32.5	1491.0
33.0	1447.0
33.5	1275.0
34.0	1204.0
34.5	1101.0
35.0	986.0
35.5	918.0
36.0	875.0
36.5	875.0
37.0	786.0
37.5	747.0
38.0	736.0
38.5	740.0
39.0	680.0
39.5	596.0
40.0	597.0
40.5	547.0
41.0	498.0
41.5	448.0
42.0	482.0
42.5	498.0
43.0	390.0
43.5	390.0
44.0	400.0
44.5	353.0
45.0	342.0
45.5	345.0
46.0	315.0
46.5	284.0
47.0	290.0
47.5	243.0
48.0	249.0
48.5	218.0
49.0	226.0
49.5	232.0
50.0	204.0
