Distance (mm)	Counts
0.0	83.0
0.2	123.0
0.4	111.0
0.6	101.0
0.8	133.0
1.0	136.0
1.2	142.0
1.4	137.0
1.6	113.0
1.8	130.0
2.0	135.0
2.2	136.0
2.4	136.0
2.6	174.0
2.8	171.0
3.0	137.0
3.2	165.0
3.4	140.0
3.6	155.0
3.8	176.0
4.0	196.0
4.2	185.0
4.4	193.0
4.6	207.0
4.8	214.0
5.0	228.0
5.2	231.0
5.4	283.0
5.6	309.0
5.8	377.0
6.0	450.0
6.2	550.0
6.4	567.0
6.6	598.0
6.8	589.0
7.0	645.0
7.2	656.0
7.4	630.0
7.6	649.0
7.8	632.0
8.0	545.0
8.2	521.0
8.4	455.0
8.6	413.0
8.8	369.0
9.0	300.0
9.2	250.0
9.4	225.0
9.6	187.0
9.8	184.0
10.0	195.0
10.2	188.0
10.4	190.0
10.6	171.0
10.8	195.0
11.0	187.0
11.2	156.0
11.4	173.0
11.6	143.0
11.8	143.0
12.0	159.0
12.2	129.0
12.4	145.0
12.6	151.0
12.8	143.0
13.0	128.0
13.2	130.0
13.4	131.0
13.6	123.0
13.8	102.0
14.0	111.0
14.2	113.0
14.4	102.0
14.6	110.0
14.8	94.0
15.0	89.0
