Distance (mm)	Counts
0.0	20.0
0.2	33.0
0.4	33.0
0.6	25.0
0.8	38.0
1.0	49.0
1.2	78.0
1.4	111.0
1.6	131.0
1.8	120.0
2.0	121.0
2.2	111.0
2.4	104.0
2.6	73.0
2.8	64.0
3.0	50.0
3.2	39.0
3.4	31.0
3.6	32.0
3.8	18.0
4.0	16.0
4.2	13.0
4.4	16.0
4.6	11.0
4.8	7.0
5.0	17.0
5.2	8.0
5.4	3.0
5.6	8.0
5.8	18.0
6.0	9.0
6.2	3.0
6.4	7.0
6.6	9.0
6.8	7.0
7.0	13.0
7.2	10.0
7.4	7.0
7.6	8.0
7.8	7.0
8.0	8.0
8.2	3.0
8.4	12.0
8.6	6.0
8.8	6.0
9.0	13.0
9.2	12.0
9.4	9.0
9.6	14.0
9.8	11.0
10.0	14.0
10.2	20.0
10.4	20.0
10.6	14.0
10.8	24.0
11.0	23.0
11.2	30.0
11.4	37.0
11.6	56.0
11.8	77.0
12.0	107.0
12.2	144.0
12.4	137.0
12.6	144.0
12.8	136.0
13.0	98.0
13.2	98.0
13.4	68.0
13.6	61.0
13.8	43.0
14.0	35.0
14.2	30.0
14.4	23.0
14.6	18.0
14.8	18.0
15.0	15.0
15.2	15.0
15.4	7.0
15.6	19.0
15.8	13.0
16.0	13.0
