Distance (mm)	Counts
0.0	9.0
0.2	9.0
0.4	11.0
0.6	15.0
0.8	17.0
1.0	16.0
1.2	20.0
1.4	30.0
1.6	30.0
1.8	50.0
2.0	58.0
2.2	69.0
2.4	110.0
2.6	137.0
2.8	140.0
3.0	168.0
3.2	169.0
3.4	181.0
3.6	136.0
3.8	127.0
4.0	99.0
4.2	67.0
4.4	57.0
4.6	43.0
4.8	30.0
5.0	40.0
5.2	34.0
5.4	19.0
5.6	20.0
5.8	28.0
6.0	17.0
6.2	26.0
6.4	21.0
6.6	21.0
6.8	21.0
7.0	17.0
7.2	21.0
7.4	23.0
7.6	24.0
7.8	29.0
8.0	41.0
8.2	29.0
8.4	30.0
8.6	59.0
8.8	57.0
9.0	76.0
9.2	108.0
9.4	146.0
9.6	180.0
9.8	187.0
10.0	178.0
10.2	158.0
10.4	173.0
10.6	112.0
10.8	88.0
11.0	76.0
11.2	63.0
11.4	39.0
11.6	44.0
11.8	21.0
12.0	17.0
12.2	29.0
12.4	25.0
12.6	13.0
12.8	19.0
13.0	13.0
13.2	7.0
13.4	11.0
13.6	8.0
13.8	11.0
14.0	5.0
14.2	5.0
14.4	8.0
14.6	4.0
14.8	6.0
15.0	7.0
15.2	7.0
15.4	11.0
15.6	8.0
15.8	4.0
16.0	5.0
